games: 27, white: 74%, black: 22%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 g5 6. Bc4 c6 7. h4 Bg7 8. Qd3, forced: 0
games: 74, white: 50%, black: 44%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. g3 fxg3 , forced: 0
games: 27, white: 66%, black: 29%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 h6 6. d4 Bg7 7. gxf4 g4 8. Be3 gxf3 9. Qxf3, forced: 0
games: 27, white: 66%, black: 29%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 g5 6. g3 Bg7 7. gxf4 g4 8. Be3 gxf3 9. Qxf3, forced: 0
games: 68, white: 50%, black: 44%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. g3 fxg3 6. hxg3, forced: 0
games: 25, white: 72%, black: 24%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 g5 6. Bc4 c6 7. h4, forced: 0
games: 79, white: 50%, black: 45%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. h4 Bg4 6. d4 Nc6 , forced: 0
games: 68, white: 48%, black: 42%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. h4 Bg4 , forced: 0
games: 85, white: 49%, black: 44%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. g3, forced: 0
games: 1510, white: 43%, black: 51%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 g5 6. Bc4, forced: 0
games: 30, white: 56%, black: 36%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 fxg3 6. hxg3 h6 7. d4 Bg4 , forced: 0
games: 30, white: 56%, black: 36%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 h6 6. d4 fxg3 7. hxg3 Bg4 , forced: 0
games: 198, white: 46%, black: 47%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 g5 6. Bc4 c6 7. h4 Bg7 , forced: 0
games: 22, white: 72%, black: 22%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 Nf6 6. Bxf4 Be7 7. Bc4 Bg4 , forced: 0
games: 33, white: 54%, black: 39%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 fxg3 6. hxg3 Bg7 7. d4 h6 8. Qd3, forced: 0
games: 30, white: 56%, black: 36%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 g5 6. g3 fxg3 7. hxg3 Bg4 , forced: 0
games: 33, white: 54%, black: 39%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 fxg3 6. hxg3 h6 7. d4 Bg7 8. Qd3, forced: 0
games: 33, white: 54%, black: 39%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 h6 6. d4 fxg3 7. hxg3 Bg7 8. Qd3, forced: 0
games: 33, white: 54%, black: 39%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 g5 6. g3 fxg3 7. hxg3 Bg7 8. Qd3, forced: 0
games: 877, white: 43%, black: 51%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. d4 g5 6. Bc4 Bg7 7. g3 Nc6 8. O-O, forced: 0
games: 219, white: 47%, black: 49%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 h6 5. h4 Nf6 6. Bc4 Bg4 , forced: 0
games: 27, white: 59%, black: 37%, pgn:1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Nc3 g5 5. g3 fxg3 6. hxg3 Bg7 7. d4 h6 8. Be3 Bg4 9. Bg2 Nc6 10. Qd2 Bxf3 11. Bxf3 Qf6 , forced: 1
