games: 137, white: 42%, black: 27%, forced: 0, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Be2
games: 83, white: 43%, black: 32%, forced: 7, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qa5 5. Nf3 c6 6. Ne5 Bf5 7. Bc4 e6 8. g4 Bg6 9. h4 Nbd7 10. Nxd7 Nxd7 11. h5 Be4 
games: 87, white: 47%, black: 34%, forced: 6, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 g6 5. c4 Nb6 6. Nc3 Bg7 7. Be3 O-O 8. h3 Nc6 9. Be2 e5 10. d5
games: 87, white: 47%, black: 34%, forced: 7, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 g6 5. c4 Nb6 6. h3 Bg7 7. Nc3 O-O 8. Be3 Nc6 9. Be2 e5 10. d5
games: 515, white: 44%, black: 24%, forced: 1, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. c4 Nb6 5. Nf3
games: 87, white: 47%, black: 34%, forced: 7, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 g6 5. h3 Bg7 6. c4 Nb6 7. Nc3 O-O 8. Be3 Nc6 9. Be2 e5 10. d5
games: 270, white: 38%, black: 20%, forced: 0, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Qxd5 4. Nc3 Qd6 5. Nf3 c6 6. g3
games: 159, white: 45%, black: 28%, forced: 5, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 g6 5. c4 Nb6 6. Nc3 Bg7 7. Be3 O-O 8. h3 Nc6 9. Qd2 e5 
games: 355, white: 41%, black: 22%, forced: 3, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Be2 Bf5 5. Nf3 e6 6. O-O
games: 159, white: 45%, black: 28%, forced: 6, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 g6 5. c4 Nb6 6. h3 Bg7 7. Nc3 O-O 8. Be3 Nc6 9. Qd2 e5 
games: 111, white: 42%, black: 27%, forced: 4, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 g6 5. c4 Nb6 6. Nc3 Bg7 7. Be3 O-O 8. h3 Nc6 9. Be2
games: 87, white: 47%, black: 34%, forced: 6, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. c4 Nb6 5. Nf3 g6 6. Nc3 Bg7 7. Be3 O-O 8. h3 Nc6 9. Be2 e5 10. d5
games: 111, white: 42%, black: 27%, forced: 5, pgn:1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. Nf3 g6 5. c4 Nb6 6. h3 Bg7 7. Nc3 O-O 8. Be3 Nc6 9. Be2
