games: 14, white: 35%, black: 50%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. d3 Bc5 6. h3 Ne7 7. O-O
games: 709, white: 40%, black: 54%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 b5 5. Bb3 Bc5 6. c3 Qf6 
games: 709, white: 40%, black: 54%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Bc5 5. c3 b5 6. Bb3 Qf6 
games: 22, white: 40%, black: 54%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. d3 Qd6 6. Be3 f6 
games: 44, white: 40%, black: 54%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Bc5 5. c3 Nge7 6. O-O Ba7 7. h3
games: 178, white: 40%, black: 54%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Bc5 5. d3 Qf6 6. c3 b5 7. Bb3
games: 1937, white: 39%, black: 53%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 d6 5. c3 f5 6. d3
games: 1617, white: 39%, black: 53%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 d6 5. c3 f5 6. d3 Nf6 
games: 5180, white: 38%, black: 52%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. c3 Nxe4 
games: 5180, white: 38%, black: 52%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Nxe4 6. c3 Be7 
games: 44, white: 38%, black: 52%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. d3 Bd6 6. Nc3 c5 
games: 609, white: 38%, black: 52%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. h3 f6 6. d4 exd4 
games: 80, white: 38%, black: 52%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. h3 f6 6. c3 c5 
games: 3560, white: 38%, black: 52%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. c3 Nxe4 7. Re1
games: 3560, white: 38%, black: 52%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Nxe4 6. c3 Be7 7. Re1
games: 152, white: 38%, black: 52%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 d6 5. O-O Bg4 6. c3 Qf6 7. Re1
games: 188, white: 38%, black: 52%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bxc6 dxc6 5. d3 f6 6. Nbd2 Be6 7. O-O
games: 90, white: 37%, black: 51%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. Qe2 d6 6. O-O g6 
games: 16, white: 43%, black: 56%, pgn:1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. Qe2 Be7 6. d4 exd4 7. e5
